Title,Company,Location,Experience,Description,Apply Link,Tags,Posted
Full Stack Solution Engineer,BMC Software,Pune,3-6 Yrs,". To ensure youre set up for success, you will bring the following skillset & experienc...",https://www.naukri.com/job-listings-full-stack-solution-engineer-bmc-software-india-pvt-ltd-pune-3-to-6-years-010725916530,"algorithms, presentation skills, java, full stack, data structures, rest, css, python",4 days ago
Senior Data Engineer,Go Digital Technology Consulting,"Hybrid - Pune, Mumbai",3-8 Yrs,Role: Senior Data Engineer Location: Mumbai & PuneExperience: 3yrs to 8yrs Technologies...,https://www.naukri.com/job-listings-senior-data-engineer-go-digital-technology-consulting-llp-mumbai-pune-3-to-8-years-300625015350,"Pyspark, Python, SQL, Hadoop, Big Data, Kafka, Spark, AWS",5 days ago
Data Engineer - Pune,Vantageiq Technologies Opc,Pune,2-4 Yrs,Proficiency in both RDBMS (Mysql preferred) and NoSql datastores Preferred candidate pr...,https://www.naukri.com/job-listings-data-engineer-pune-vantageiq-technologies-opc-pune-2-to-4-years-061124004570,"Pyspark, Glue, Aws Glue, Python, Big Data, ETL, Data Governance, Data Engineering",4 days ago
Senior Data Engineer,S&P Global Market Intelligence,"Ahmedabad, Hyderabad, Gurugram",4-8 Yrs,"Integrate, deploy, and scale ML models within those pipelines (real-time inference and ...",https://www.naukri.com/job-listings-senior-data-engineer-sp-capital-iq-india-pvt-ltd-hyderabad-ahmedabad-gurugram-4-to-8-years-010725924329,"continuous integration, kubernetes, ci/cd, python, aws, eks, redis, sql",4 days ago
Aws Data Engineer,Genpact,"Hybrid - Pune, Hyderabad, Bengaluru",4-7 Yrs,We are inviting applications for the role of Data Engineer Extensive hands-on experien...,https://www.naukri.com/job-listings-aws-data-engineer-genpact-hyderabad-pune-bengaluru-4-to-7-years-010725013479,"Pyspark, AWS, Python, Data",4 days ago
"Data Engineer (Python, AWS services (kafka, hadoop, spark))",Turing Global India,Remote,3-5 Yrs,Experience with batch processing data and / or creating real-time analysis systems . Hi...,https://www.naukri.com/job-listings-data-engineer-python-aws-services-kafka-hadoop-spark-turing-remote-3-to-5-years-140125508039,"Social media marketing, Mechatronics, Front end, Version control, GIT, Machine learning, SCALA, biomedical",3+ weeks ago
Aws Data Engineer,Hiring for Leading MNC Company,"Hybrid - Pune, Hyderabad, Bengaluru",4-6 Yrs,Experience Required :4 to 6 yrs . Work Location :Bangalore / Pune/Hyderabad / Chennai R...,https://www.naukri.com/job-listings-aws-data-engineer-sp-staffing-hyderabad-pune-bengaluru-4-to-6-years-300625001849,"Pyspark, Glue, python, EMR, Aws Glue, Aws Emr, AWS Data Engineer, Aws Lambda",5 days ago
Python Developer,Dynamic Vishva,Remote,1-3 Yrs,DYNAMIC VISHVA is looking for Python Developer to join our dynamic team and embark on a...,https://www.naukri.com/job-listings-python-developer-dynamic-vishva-remote-1-to-3-years-200625500846,"python, css, c, software testing, natural language processing, python development, machine learning, artificial intelligence",2 weeks ago
Data Engineer,Bestpeers Infosystem,Indore,1-3 Yrs,a Masters is a plusExperience Required:-Previous experience as a data engineer or in a ...,https://www.naukri.com/job-listings-data-engineer-bestpeers-infosystem-indore-1-to-3-years-260625030481,"ETL Tool, Pyspark, Azure Cloud, Postgresql, Pandas, Django Framework, AWS, Numpy",1 week ago
ETL Data Engineer – Python/ AWS/ SQL,Wits Innovation Lab,Bengaluru,6-11 Yrs,"We are looking for energetic, self-motivated and exceptional Data engineer to work on e...",https://www.naukri.com/job-listings-etl-data-engineer-python-aws-sql-wits-innovation-lab-bengaluru-6-to-11-years-040725924829,"Python, RDS, BI Tools, SAS, DynamoDB, FHIR, Redshift, SQL",1 day ago
