Title,Company,Location,Experience,Description,Apply Link,Tags,Posted
Python Software Developer,Quantum Leap Consulting,Hybrid - Mumbai (All Areas),3-8 Yrs,Shift : General Shifts. Interview Mode : 1st Round Virtual and 2nd Round F2fOpenings fo...,https://www.naukri.com/job-listings-python-software-developer-teamware-solutions-a-division-of-quantum-leap-co-nsulting-mumbai-all-areas-3-to-8-years-250625934928,"Pandas, Python Development, SQL, SQL Queries, Numpy, Development, Python, Query",1 week ago
AI/Deep Learning Engineer,Ignatiuz Software,Indore,3-5 Yrs,"The ideal candidate will have a strong foundation in AI, deep learning, and machine lea...",https://www.naukri.com/job-listings-ai-deep-learning-engineer-ignatiuz-software-pvt-ltd-indore-3-to-5-years-240325503102,"Computer vision, deep learning, Neural networks, Machine learning, Algorithm development, Data processing, Natural language processing, Research",3+ weeks ago
Python Developer,Maestrowiz Solutions,Madurai,2-5 Yrs,"Strong leadership and problem-solving skills, as well as the ability to analyze data an...",https://www.naukri.com/job-listings-python-developer-maestrowiz-solutions-madurai-2-to-5-years-160524501120,"python, css, natural language processing, python development, problem solving, numpy, machine learning, artificial intelligence",3+ weeks ago
Python Developer,Firecodex,Thiruvananthapuram,2-5 Yrs,Firecodex is looking for Python Developer to join our dynamic team and embark on a rewa...,https://www.naukri.com/job-listings-python-developer-firecodex-thiruvananthapuram-2-to-5-years-120225500068,"python, css, natural language processing, python development, numpy, machine learning, artificial intelligence, javascript",3+ weeks ago
Python Developer,Advent Talent Solutions,Hybrid - Hyderabad,9-14 Yrs,Position Overview: . We are seeking an experienced Backend Developer proficient in Pyth...,https://www.naukri.com/job-listings-python-developer-advent-talent-solutions-hyderabad-9-to-14-years-210625015190,"Fast Api, Microservices, Docker, Python Development, Sqlalchemy, Data Structures, Postgresql, Ci/Cd",2 weeks ago
Python Developer | Leading FinTech | Bangalore,Perfios Software Solutions,Hybrid - Bengaluru,2-4 Yrs,Primary FunctionHands on in Python scripting language.A deep understanding of Data str...,https://www.naukri.com/job-listings-python-developer-leading-fintech-bangalore-perfios-software-solutions-bengaluru-2-to-4-years-200625030650,"Java, Numphy, Mysql, Pandas, Python, Django, Development, Fintech",2 weeks ago
AI Engineer || 12 Lakhs CTC,Robotics Technologies,Hyderabad(Banjara hills),4-9 Yrs,"Dear Candidate, We are seeking a highly skilled and motivated Software Engineer with e...",https://www.naukri.com/job-listings-ai-engineer-12-lakhs-ctc-vcloud-technologies-investment-hyderabad-4-to-9-years-280625014972,"Artificial Intelligence, Natural Language Processing, Ai Algorithms, Ml, Tensorflow, Matplotlib, Scipy, Gensim",1 week ago
Python (NumPy,Fusion Plus Solutions,Hyderabad,2-7 Yrs,of Experience of experience . Strong knowledge of Python (Numpy Pandas and SciKit-lear...,https://www.naukri.com/job-listings-python-numpy-fusion-plus-solutions-inc-hyderabad-2-to-7-years-040225503980,"data science, Machine learning, Forecasting, SQL, Python, Numpy, Machine, Science",3+ weeks ago
Python Software Developer,Euclid Innovations,Hybrid - Hyderabad,7-12 Yrs,Experience with Flask or Django for web application developmentPreferred Qualifications...,https://www.naukri.com/job-listings-python-software-developer-euclid-innovations-hyderabad-7-to-12-years-160625006330,"Django, Python, Pandas, Numpy, Flask, Software development, Development, Software",1 week ago
Assistant Manager - WTS - Python developer,WNS Holdings,Gurugram,3-5 Yrs,Implement Web applications in Python/DjangoUnderstanding project requirement & converti...,https://www.naukri.com/job-listings-assistant-manager-wts-python-developer-wns-global-services-private-limited-gurugram-3-to-5-years-270625926759,"python, web application, financial services, django, open source technologies, scipy, css, natural language processing",1 week ago
Python Developer,Euclid Innovations,Hybrid - Hyderabad,8-13 Yrs,Experience with Flask or Django for web application developmentPreferred Qualifications...,https://www.naukri.com/job-listings-python-developer-euclid-innovations-hyderabad-8-to-13-years-260525004486,"Django, Rest Api Development, Pandas, Numpy, Python, Scipy, API, Python Development",3+ weeks ago
Python Data Analyst,MavenMagnet,"Indore, Madhya Pradesh",1-6 Yrs,Bachelors degreeMinimum 1 year of experience automating repetitive calculations using P...,https://www.naukri.com/job-listings-python-data-analyst-mavenmagnet-indore-madhya-pradesh-1-to-6-years-030625915547,"Python, xlwings, SciPy, Pandas, AI, NumPy, openpyxl, Data",3+ weeks ago
Python Developer FLKMS,Enterprise Minds,Bengaluru,3-8 Yrs,"Bachelors degree in Computer Science, Engineering, or a related fieldRequired Qualifica...",https://www.naukri.com/job-listings-python-developer-flkms-enterpriseminds-india-private-limited-bengaluru-3-to-8-years-170625920998,"data manipulation, python development, numpy, sql, pandas, python, microsoft azure, machine learning",2 weeks ago
Python Developer,KNS Technologies,Bengaluru(BTM 1st Stage),2-3 Yrs,ob Title:Python Developer Machine Learning & AI (2–3 Years Experience)Job Summary:We a...,https://www.naukri.com/job-listings-python-developer-kns-technologies-bengaluru-2-to-3-years-180625019684,"Matplotlib, Machine Learning, Pandas, Keras, Python Development, Tensorflow, Fast Api, Scikit-Learn",2 weeks ago
AI Tools Specialist | Python Programming,Norwin Technologies,"Bangalore Rural, Bengaluru",2-7 Yrs,"We are very focused on developing the skills of our technical talent through training, ...",https://www.naukri.com/job-listings-ai-tools-specialist-python-programming-norwin-technologies-bangalore-rural-bengaluru-2-to-7-years-260625020755,"Ai Solutions, Pytorch, Coding, Pandas, Python, Tensorflow, Pyspark, Matplotlib",1 week ago
Python Developer,Naukri,Remote,5-10 Yrs,"Troubleshoot issues related to application performance, scalability, and reliability. J...",https://www.naukri.com/job-listings-python-developer-naukri-remote-5-to-10-years-020725030818,"MongoDB, Python developer, MS SQL, NoSQL, Relational Databases, Ms Sql Serve, Nosql Databases, Python",3 days ago
CPU Full Stack Python Developer (Staff/Sr. Staff),Qualcomm,Bengaluru,4-9 Yrs,"Job Area: Engineering Group, Engineering Group > Hardware EngineeringGeneral Summary:We...",https://www.naukri.com/job-listings-cpu-full-stack-python-developer-staff-sr-staff-qualcomm-india-pvt-ltd-bengaluru-4-to-9-years-110625919970,"tool development, data science, python, data analysis, machine learning, css, hiring, scikit-learn",3 weeks ago
Python Engineer,Forbes Global 2000 MNC in Investment Banking,"Noida, Gurugram",3-8 Yrs,"Experience with Git, Docker, CI / CD, and modern development workflows. Required Qualif...",https://www.naukri.com/job-listings-python-engineer-kezan-consulting-noida-gurugram-3-to-8-years-120625015656,"OOPS, Pandas, Numpy, Python, Data Structures And Algorithms, Scipy, GIT, Docker",3 weeks ago
AI Engineer Computer Vision & Physiological Signal Analysis,5ive.ai,Noida(Sector 62),3-8 Yrs,"Languages : Python (must), PyTorch or TensorFlowRequired Skills 3+ years of experience...",https://www.naukri.com/job-listings-ai-engineer-computer-vision-physiological-signal-analysis-5ive-ai-noida-3-to-8-years-270625000164,"rppg, numpy, bio-signal AI models, Computer Vision, Python, Tensorflow, Object Detection, Mediapipe",1 week ago
