Title,Company,Location,Experience,Description,Apply Link,Tags,Posted
AlgoNext Automation Developer,Algosec,New Delhi,3-7 Yrs,"At AlgoSec, What you do matters!. Over 2, 200 of the world’s leading organizations trus...",https://www.naukri.com/job-listings-algonext-automation-developer-algosec-new-delhi-3-to-7-years-200625502520,"rest, visualforce, python, automation testing, microsoft azure, selenium webdriver, triggers, sql server",2 weeks ago
SDET,Trellix,Bengaluru,3-5 Yrs,"Experience with on-prem environments (networking, firewalls, hardware constraints) . Fa...",https://www.naukri.com/job-listings-sdet-trellix-bengaluru-3-to-5-years-030725502076,"Unix, Computer science, Automation, Linux, Networking, GCP, Shell scripting, Customer support",2 days ago
Software Development Engineer in Test,Trellix,"Pune, Bengaluru",1-4 Yrs,". Extensive experience designing, developing, and maintaining automated test frameworks...",https://www.naukri.com/job-listings-software-development-engineer-in-test-trellix-pune-bengaluru-1-to-4-years-180625501558,"Computer science, System architecture, Automation, Linux, Testing tools, Functional testing, Customer support, Information technology",2 weeks ago
Senior Software Development Engineer in Test,Trellix,"Pune, Bengaluru",4-10 Yrs,. About you: . 4-10 years of experience in a SDET role with a relevant degree in Comput...,https://www.naukri.com/job-listings-senior-software-development-engineer-in-test-trellix-pune-bengaluru-4-to-10-years-180625501557,"Computer science, Automation, Backend, Linux, Functional testing, Customer support, Test cases, Information technology",2 weeks ago
SDET,Singlestore,Pune,2-5 Yrs,Position Overview Imagine contributing to a world where everyone can access their...,https://www.naukri.com/job-listings-sdet-memsql-pune-2-to-5-years-240525500722,"SAN, C++, Manager Quality Assurance, Linux, Networking, Shell scripting, Performance testing, Troubleshooting",3+ weeks ago
Python Selenium Automation Testing Engineer,Infosys,Pune,3-5 Yrs,"Bachelor of Engineering, BCA, BSc, MTech, MCA, MSc . Service Line Preferred Good unders...",https://www.naukri.com/job-listings-python-selenium-automation-testing-engineer-infosys-limited-pune-3-to-5-years-030725924079,"software testing, automation testing, selenium, sdlc, agile methodology, project management, python, data validation",2 days ago
Automation Testing Engineer - Python,Qcentrio,"Indore, Pune, Noida",5-8 Yrs,Experience : 4+ yrs experience in Python Automation.,https://www.naukri.com/job-listings-automation-testing-engineer-python-qcentrio-private-limited-noida-indore-pune-5-to-8-years-250625912896,"Automation Testing, Regression Testing, Performance Testing, Playwright Testing, Software Quality Assurance, Automation Testing Tools, Application Testing, Selenium",1 week ago
Python Automation Engineer,Harman International,Bengaluru,2-3 Yrs,Bachelor s or master s degree in computer science or a related field. What Makes You El...,https://www.naukri.com/job-listings-python-automation-engineer-harman-international-bengaluru-2-to-3-years-250625501875,"Computer science, Test scripts, Test strategy, Test management, Agile, Selenium, Troubleshooting, JIRA",1 week ago
Python Selenium Automation Testing Engineer,Infosys,Bengaluru,3-5 Yrs,"Bachelor of Engineering, BCA, BSc, MTech, MCA, MSc Good understanding of SDLC and agile...",https://www.naukri.com/job-listings-python-selenium-automation-testing-engineer-infosys-limited-bengaluru-3-to-5-years-030725917200,"automation testing, selenium automation testing, selenium, sdlc, agile methodology, project management, python, data validation",2 days ago
QA Automation Engineer (Python with Selenium),NSR Information Systems,Hyderabad,6-11 Yrs,Analyzing processes and systems to identify areas for automation Designing and impl...,https://www.naukri.com/job-listings-qa-automation-engineer-python-with-selenium-nsr-information-systems-hyderabad-6-to-11-years-311023501593,"QA, Automation, github, Coding, Agile, Selenium, QA automation, AWS",3+ weeks ago
QA Engineer - Data & Integrations (Python automation + SQL),Kovan Labs,"Chennai, Coimbatore, Bengaluru",8-13 Yrs,"Education: Bachelors degree in Computer Science, Engineering, or a related field prefer...",https://www.naukri.com/job-listings-qa-engineer-data-integrations-python-automation-sql-kovan-labs-chennai-coimbatore-bengaluru-8-to-13-years-040725012300,"Automation Testing, Selenium, Python, SQL, Mdm Testing, ETL Testing, Data integration, MDM",1 day ago
Python Selenium Automation Testing Engineer,Infosys,Pune,3-5 Yrs,"Bachelor of Engineering, BTech, BCA, MTech, MSc, MCA, Master Of Engineering . Service L...",https://www.naukri.com/job-listings-python-selenium-automation-testing-engineer-infosys-limited-pune-3-to-5-years-270625921700,"python, machine learning, react.js, reactive programming, selenium, project management, automation testing, selenium automation testing",1 week ago
Automation Testing Engineer - Python,Qcentrio,"Pune, Hyderabad, Gurugram",5-8 Yrs,Experience : 4+ yrs experience in Python Automation.,https://www.naukri.com/job-listings-automation-testing-engineer-python-qcentrio-private-limited-hyderabad-pune-gurugram-5-to-8-years-250625912891,"Automation Testing, Regression Testing, Performance Testing, Playwright Testing, Software Quality Assurance, Automation Testing Tools, Application Testing, Selenium",1 week ago
Automation Testing Engineer - Python,Qcentrio,Ahmedabad,5-8 Yrs,"Notice Period : Immediate - 15 daysTechnical Skill : Python Automation, Javascript, Sel...",https://www.naukri.com/job-listings-automation-testing-engineer-python-qcentrio-private-limited-ahmedabad-5-to-8-years-240625927492,"Automation, Regression Testing, Performance Testing, Playwright Testing, Software Quality Assurance, Automation Testing Tools, Automation Testing, Application Testing",1 week ago
Python Automation Test Engineer,HCLTech,Noida,4-8 Yrs,"Bachelors degree in computer science or related field Experience in designing, creating...",https://www.naukri.com/job-listings-python-automation-test-engineer-hcltech-noida-4-to-8-years-240625009256,"Python, Python Testing, Pytest, Automation Testing, Software testing, Automation",3 days ago
Senior Quality Assurance Automation Engineer - Python/Selenium,TETRAHED INDIA Private LIMITED,Navi Mumbai,4-6 Yrs,4+ years of relevant QA technical experience,https://www.naukri.com/job-listings-senior-quality-assurance-automation-engineer-python-selenium-tetrahed-india-private-limited-navi-mumbai-4-to-6-years-010725922390,"Software Quality Assurance, POSTMAN, Automation Testing, Selenium, JMeter, Testing, SQL, Python",4 days ago
Senior Automation Engineer (Python and Selenium),Eurofins Digital Testing,Bengaluru,6-9 Yrs,We are seeking an experienced Test Automation Engineer to join our team. The successf...,https://www.naukri.com/job-listings-senior-automation-engineer-python-and-selenium-resillion-bengaluru-6-to-9-years-250325500365,"TCP, automation framework, Automation, Version control, Networking, Test execution, DNS, Selenium",3+ weeks ago
Python Selenium Automation Testing Engineer,Infosys,Hyderabad,3-5 Yrs,"Bachelor of Engineering, BTech, BSc, BCA, MTech, MCA, MSc . Service Line Preferred . An...",https://www.naukri.com/job-listings-python-selenium-automation-testing-engineer-infosys-limited-hyderabad-3-to-5-years-270625921802,"python, automation testing, selenium, debugging, software quality assurance, selenium automation testing, javascript, java",1 week ago
"Python ,Selenium",Fusion Plus Solutions,Hyderabad,3-6 Yrs,No of years experience 6 to 8 yrs Detailed job description Skill Set: To perform all th...,https://www.naukri.com/job-listings-python-selenium-fusion-plus-solutions-inc-hyderabad-3-to-6-years-301024500355,"continuous integration, kubernetes, ci/cd, azure devops, docker, ansible, git, automation",3+ weeks ago
Python Selenium Automation Testing Engineer,Infosys,Bengaluru,3-5 Yrs,"Bachelor of Engineering, BTech, BSc, BCA, BE, MSc, MTech, MCA . Service Line Preferred ...",https://www.naukri.com/job-listings-python-selenium-automation-testing-engineer-infosys-limited-bengaluru-3-to-5-years-270625921745,"python, software testing, machine learning, sdlc, agile methodology, project management, data validation, selenium automation testing",1 week ago
"Python ,Selenium/",Fusion Plus Solutions,Hyderabad,4-8 Yrs,Maintain and update automation framework as required. .,https://www.naukri.com/job-listings-python-selenium-fusion-plus-solutions-inc-hyderabad-4-to-8-years-281024501384,"Automation, GIT, devops, API Testing, Agile, Selenium, Python, Testing",3+ weeks ago
Automation experience on Python + Selenium + Robot,Fusion Plus Solutions,Hyderabad,3-7 Yrs,Total Yrs. of Experience5+ Relevant Yrs. of experience(Total and Relevant cannot be the...,https://www.naukri.com/job-listings-automation-experience-on-python-selenium-robot-fusion-plus-solutions-inc-hyderabad-3-to-7-years-141124504805,"python, git, selenium, postman, api, agile methodology, Robot, Automation",3+ weeks ago
Automation experience on Python + Selenium + Robot,Fusion Plus Solutions,Hyderabad,3-7 Yrs,of experience(Total and Relevant cannot be the same which results in sourcing irrelevan...,https://www.naukri.com/job-listings-automation-experience-on-python-selenium-robot-fusion-plus-solutions-inc-hyderabad-3-to-7-years-301024504323,", Automation experience on Python + Selenium + Robot, Automation, Robot, Python, Selenium",3+ weeks ago
Automation Test Engineer [Python Selenium],TESTRIQ,Mumbai,3-7 Yrs,"Work Type - Full TimeShift - Day Shiftrequired quality standards. . Identify, record, a...",https://www.naukri.com/job-listings-automation-test-engineer-python-selenium-testriq-qa-lab-llp-mumbai-3-to-7-years-210225501723,"Version control, Test scripts, TDD, Test execution, Performance testing, Agile, Selenium, JIRA",3+ weeks ago
Java/Python -Selenium Automation Testing (Contract To HIRE ROLE),Leading Software Technologies,"Hybrid - Hyderabad, Chennai, Bengaluru",3-8 Yrs,Looking for Selenium Automation Tester & Python Selenium Test Engineer.Java Selenium Au...,https://www.naukri.com/job-listings-java-python-selenium-automation-testing-contract-to-hire-role-harel-hr-consulting-hyderabad-chennai-bengaluru-3-to-8-years-040625032540,"Automation Selenium, Python Selenium, Automation Testing, Selenium, Java Selenium, Selenium Automation Testing, Selenium Testing, Python Testing",3+ weeks ago
Python Selenium Automation Test Lead,Infosys,Pune,5-8 Yrs,"Bachelor of Engineering, BTech, BSc, BCA, MTech, MSc, MCA . Service Line Preferred . An...",https://www.naukri.com/job-listings-python-selenium-automation-test-lead-infosys-limited-pune-5-to-8-years-270625921978,"automation testing, selenium, debugging, software quality assurance, agile methodology, python, java, selenium automation",1 week ago
Python Selenium Automation Test Lead,Infosys,Bengaluru,5-8 Yrs,"Bachelor of Engineering, BSc, BCA, MTech, MSc, MCA . Service Line Preferred . Analytica...",https://www.naukri.com/job-listings-python-selenium-automation-test-lead-infosys-limited-bengaluru-5-to-8-years-270625921907,"automation testing, selenium, debugging, software quality assurance, agile methodology, python, java, selenium automation",1 week ago
Python Selenium Automation Test Lead,Infosys,Hyderabad,5-8 Yrs,"Bachelor of Engineering, BTech, BSc, BCA, MTech, MCA, MSc . Service Line Preferred . An...",https://www.naukri.com/job-listings-python-selenium-automation-test-lead-infosys-limited-hyderabad-5-to-8-years-270625921091,"automation testing, selenium, debugging, software quality assurance, agile methodology, python, java, selenium automation",1 week ago
Automation Test Engineer (Python + Selenium),Talent Corner Hr Services,Pune,5-8 Yrs,5-8 years of experience in automation testing with Python/Advanced Python. Proficiency ...,https://www.naukri.com/job-listings-automation-test-engineer-python-selenium-talent-corner-hr-services-pune-5-to-8-years-170525020898,"Advanced Python, API Testing, Automation Testing, Selenium, Python, KVM, OOPS, JIRA",2 weeks ago
"QA Architect (Python, Selenium) || 12+ yrs",Emids Technologies,"Hybrid - Noida, Hyderabad, Bengaluru",12-20 Yrs,"Minimum two scripting languages (e.g., Python + JavaScript / Bash/Java / Ruby) . .",https://www.naukri.com/job-listings-qa-architect-python-selenium-12-yrs-emids-technologies-noida-hyderabad-bengaluru-12-to-20-years-200625019707,"python, API Testing, QA Automation, Selenium, SQL, API, Architecture, Quality assurance",2 weeks ago
"Python ,Selenium",Fusion Plus Solutions,Hyderabad,6-8 Yrs,". No of years experiencePython, Selenium . Good to Have Skills",https://www.naukri.com/job-listings-python-selenium-fusion-plus-solutions-inc-hyderabad-6-to-8-years-180924500588,"Automation, GIT, devops, API Testing, Agile, Database, Selenium, Python",3+ weeks ago
"Selenium Automation - Python, Selenium with Python, p",Fusion Plus Solutions,Hyderabad,5-10 Yrs,Is there any working in shifts from standard Daylight (to avoid confusions post onboard...,https://www.naukri.com/job-listings-selenium-automation-python-selenium-with-python-p-fusion-plus-solutions-inc-hyderabad-5-to-10-years-031024503177,"Telecom, Database testing, Automation testing, Functional testing, devops, API Testing, Agile, Selenium",3+ weeks ago
Immediate Opening WITH UNIFY Technology For SDET(Automation+Python),Unify Technologies,Hybrid - Hyderabad,5-10 Yrs,Preferred candidate profile . We have extensive experience in software product engineer...,https://www.naukri.com/job-listings-immediate-opening-with-unify-technology-for-sdet-automation-python-unify-technologies-hyderabad-5-to-10-years-260625027950,"Pytest, Selenium, Python, Automation Testing, Automation, SDET, Technology, Software testing",1 week ago
Software Development Engineer - Test - Automation Testing,Thinkwise Consulting,Hyderabad,6-10 Yrs,"In this role, youll need : . - Bachelors degree in Computer Science, Information Techno...",https://www.naukri.com/job-listings-software-development-engineer-test-automation-testing-thinkwise-consulting-llp-hyderabad-6-to-10-years-250625910596,"SDET, Playwright Testing, Software Quality Assurance, Cypress, API Testing, Automation Testing, Selenium, Testing",1 week ago
Automation Testing Engineer - Python,Qcentrio,Jaipur,5-8 Yrs,Job Position : Python AutomationExperience : 4+ yrs experience in Python AutomationNoti...,https://www.naukri.com/job-listings-automation-testing-engineer-python-qcentrio-private-limited-jaipur-5-to-8-years-250625928807,"Python, Regression Testing, Performance Testing, Playwright Testing, Software Quality Assurance, Automation Testing Tools, Automation Testing, Application Testing",1 week ago
Automation Testing Engineer - Python,Qcentrio,Bengaluru,5-8 Yrs,Job Position : Python AutomationExperience : 4+ yrs experience in Python AutomationNoti...,https://www.naukri.com/job-listings-automation-testing-engineer-python-qcentrio-private-limited-bengaluru-5-to-8-years-250625928775,"Python, Regression Testing, Performance Testing, Playwright Testing, Software Quality Assurance, Automation Testing Tools, Automation Testing, Application Testing",1 week ago
Automation Testing Engineer - Python,Qcentrio,Nagpur,5-8 Yrs,Experience : 4+ yrs experience in Python AutomationNotice Period : Immediate - 15 daysT...,https://www.naukri.com/job-listings-automation-testing-engineer-python-qcentrio-private-limited-nagpur-5-to-8-years-250625920620,"Automation Testing, Regression Testing, Performance Testing, Playwright Testing, Software Quality Assurance, Javascript, Selenium, Python",1 week ago
Automation Testing Engineer - Python,Qcentrio,Kolkata,5-8 Yrs,Experience : 4+ yrs experience in Python AutomationNotice Period : Immediate - 15 daysT...,https://www.naukri.com/job-listings-automation-testing-engineer-python-qcentrio-private-limited-kolkata-5-to-8-years-250625920604,"Automation Testing, Regression Testing, Performance Testing, Playwright Testing, Software Quality Assurance, JavaScript, Selenium, Python",1 week ago
Automation Testing Engineer - Python,Qcentrio,Mumbai,5-8 Yrs,Job Position : Python AutomationExperience : 4+ yrs experience in Python AutomationNoti...,https://www.naukri.com/job-listings-automation-testing-engineer-python-qcentrio-private-limited-mumbai-5-to-8-years-250625912177,"Python, Regression Testing, Performance Testing, Playwright Testing, Software Quality Assurance, Automation Testing Tools, Automation Testing, Application Testing",1 week ago
