id,match_id,content,bowler,batsman,over,ball,lemmatized,ball_type,shot_type,region
3610000000,128748,"Hard length on off, seaming away off the deck, Jaiswal stays back in his crease and plays it out to point.",Josh Tongue,Yashasvi Jaiswal,19,1,"hard length on off , seaming away off the deck , jaiswal stay back in his crease and play it out to point .",[],[],['point']
3580000000,128748,"Back of a length and on off, defended down the deck by Nair.",Ben Stokes,Karun Nair,18,6,"back of a length and on off , defended down the deck by nair .",['back of a length'],[],[]
3560000000,128748,"Excellent running! Short of a good length and on off, blocked out into the off side for a quick single.",Ben Stokes,Yashasvi Jaiswal,18,5,"excellent running ! short of a good length and on off , blocked out into the off side for a quick single .","['good length', 'short']",[],[]
3530000000,128748,"FOUR! Does Jaiswal know Wimbledon is being played at SW19 and not at Edgbaston? Banged in short and wide outside off, Jaiswal stays back and forces a cut shot, almost like a backhand slap through backward point and picks up a boundary.",Ben Stokes,Yashasvi Jaiswal,18,4,"four ! doe jaiswal know wimbledon is being played at sw19 and not at edgbaston ? banged in short and wide outside off , jaiswal stay back and force a cut shot , almost like a backhand slap through backward point and pick up a boundary .",['short'],['cut'],"['backward point', 'point']"
3500000000,128748,"Back of a length and around off, Nair presses back and blocks it into the off side before picking up an easy single.",Ben Stokes,Karun Nair,18,3,"back of a length and around off , nair press back and block it into the off side before picking up an easy single .",['back of a length'],[],[]
3460000000,128748,"Much more well-directed by Stokes. A bouncer, pitches on off and angles back in around head height. Nair manages to sway away from the line of the ball.",Ben Stokes,Karun Nair,18,2,"much more well-directed by stokes . a bouncer , pitch on off and angle back in around head height . nair manages to sway away from the line of the ball .",['bouncer'],[],[]
3430000000,128748,"Banged in halfway down the track and this is angled down leg, Nair ducks under it with ease.",Ben Stokes,Karun Nair,18,1,"banged in halfway down the track and this is angled down leg , nair duck under it with ease .",[],[],[]
3420000000,128748,"Nagging length, a bit full and on middle, Jaiswal gets onto the front foot and dead-bats it back to the bowler.",Josh Tongue,Yashasvi Jaiswal,17,6,"nagging length , a bit full and on middle , jaiswal get onto the front foot and dead-bats it back to the bowler .",['full'],[],[]
3390000000,128748,"A proper bumper now, bowled outside off and Jaiswal lets it through to the keeper.",Josh Tongue,Yashasvi Jaiswal,17,5,"a proper bumper now , bowled outside off and jaiswal let it through to the keeper .",[],[],[]
3340000000,128748,"Short ball around off, Jaiswal hops and dabs it down in front of point, looking for a quick single but the fielder reacts quickly and keeps Jaiswal honest.",Josh Tongue,Yashasvi Jaiswal,17,4,"short ball around off , jaiswal hop and dab it down in front of point , looking for a quick single but the fielder reacts quickly and keep jaiswal honest .",['short'],[],['point']
3320000000,128748,"Length ball slanted into the pads, flicked away between mid on and mid-wicket for one more. The 50-run stand is also up between these two, in just 53 deliveries.",Josh Tongue,Karun Nair,17,3,"length ball slanted into the pad , flicked away between mid on and mid-wicket for one more . the 50-run stand is also up between these two , in just 53 delivery .",[],['flicked'],['mid on']
3280000000,128748,"Banged in short and over middle, Jaiswal hops and just nudges it down through the vacant square leg region for a single.",Josh Tongue,Yashasvi Jaiswal,17,2,"banged in short and over middle , jaiswal hop and just nudge it down through the vacant square leg region for a single .",['short'],[],[]
3250000000,128748,"Bowled full and just around the off stump, Jaiswal is late to react and tries to stride across as the ball zips past him and through to the keeper.",Josh Tongue,Yashasvi Jaiswal,17,1,"bowled full and just around the off stump , jaiswal is late to react and try to stride across a the ball zip past him and through to the keeper .",['full'],[],[]
3240000000,128748,"A bit shorter and over middle, Nair gets his hands out in front and blocks it onto the deck.",Ben Stokes,Karun Nair,16,6,"a bit shorter and over middle , nair get his hand out in front and block it onto the deck .",['shorter'],[],[]
